SA535X4XB05985-A98262A-R04-C17,SA535X4XB05985-A98262A-R06-C09,SA535X4XB05985-A98262A-R07-C30,SA535X4XB05985-A98262A-R08-C07,SA535X4XB05985-A98262A-R09-C15,SA535X4XB05985-A98262A-R09-C25,SA535X4XB05985-A98262A-R09-C29,SA535X4XB05985-A98262A-R10-C24,SA535X4XB05985-A98262A-R11-C13,SA535X4XB05985-A98262A-R12-C44,SA535X4XB05985-A98262A-R13-C12,SA535X4XB05985-A98262A-R13-C15,SA535X4XB05985-A98262A-R14-C16,SA535X4XB05985-A98262A-R14-C21,SA535X4XB05985-A98262A-R16-C30
3_125500001_126000000,5,4,5,5,5,6,7,5,6,5,6,6,5,3,6
3_126500001_127000000,5,4,5,5,5,6,7,5,6,5,6,6,5,3,6
3_127000001_127500000,5,4,5,5,5,6,7,5,6,5,6,6,5,3,6
3_127500001_128000000,5,4,5,5,5,6,4,5,6,5,6,5,5,3,6
3_128000001_128500000,5,4,5,5,5,6,4,5,6,5,6,5,4,3,6
3_128500001_129000000,5,4,4,5,5,6,4,5,6,5,6,5,4,3,5
3_129000001_129500000,5,4,4,5,5,6,4,5,6,5,6,5,4,3,5
3_130500001_131000000,5,4,4,5,5,6,4,5,6,5,6,7,4,3,5
3_131500001_132000000,5,4,4,5,5,6,4,5,6,5,6,7,4,3,5
3_133000001_133500000,5,4,4,5,5,6,4,5,6,5,6,7,4,3,5
3_133500001_134000000,5,4,4,5,5,6,4,5,6,5,6,6,4,3,5
3_134000001_134500000,5,4,4,5,5,6,4,5,6,5,6,6,4,3,5
3_135500001_136000000,5,4,4,5,5,6,4,5,6,5,6,6,4,3,5
3_137500001_138000000,5,4,4,5,5,6,5,5,6,5,6,6,4,3,5
3_138000001_138500000,5,4,4,5,5,6,5,5,6,5,6,6,4,3,5
3_138500001_139000000,5,4,4,5,5,6,5,5,6,5,6,6,4,3,5
3_139000001_139500000,5,4,4,5,5,6,5,5,6,5,6,6,4,3,5
3_139500001_140000000,5,4,4,5,5,6,5,5,6,5,6,6,4,3,5
3_140000001_140500000,5,4,4,5,5,6,5,5,6,5,6,6,4,3,5
3_140500001_141000000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_141000001_141500000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_141500001_142000000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_142000001_142500000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_142500001_143000000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_143000001_143500000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_143500001_144000000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_144000001_144500000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_144500001_145000000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_145000001_145500000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_146000001_146500000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_146500001_147000000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_147000001_147500000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_147500001_148000000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_148500001_149000000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_149000001_149500000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_149500001_150000000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_150000001_150500000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_150500001_151000000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_151000001_151500000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_151500001_152000000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_152000001_152500000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_152500001_153000000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_153000001_153500000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_153500001_154000000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_154000001_154500000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_155500001_156000000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_156000001_156500000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_156500001_157000000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_157000001_157500000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_159000001_159500000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_159500001_160000000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_160000001_160500000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_160500001_161000000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_161000001_161500000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_161500001_162000000,4,4,4,5,5,5,5,5,6,6,6,6,4,3,5
3_163000001_163500000,4,3,4,5,5,5,5,5,6,6,6,6,4,3,5
3_163500001_164000000,4,3,4,5,5,5,5,5,6,6,6,6,4,3,5
3_164500001_165000000,4,3,4,5,5,5,5,5,6,6,6,6,4,3,5
3_165000001_165500000,5,3,4,5,5,5,5,5,6,6,6,6,4,3,5
3_166000001_166500000,5,4,4,5,5,5,5,5,6,6,6,6,4,3,5
3_166500001_167000000,5,4,4,5,5,5,5,5,6,6,6,6,4,3,5
3_167000001_167500000,5,4,4,5,5,5,5,5,6,6,6,6,4,3,5
3_167500001_168000000,5,4,4,5,5,5,5,5,6,6,6,6,4,3,5
3_168500001_169000000,5,4,4,5,5,5,5,5,6,6,6,6,4,3,5
3_169500001_170000000,5,4,4,5,5,5,5,5,6,6,6,6,4,3,5
3_170000001_170500000,5,4,4,5,5,5,5,5,6,6,6,6,4,3,5
3_170500001_171000000,5,4,4,5,5,5,5,5,6,6,6,6,4,3,5
3_171000001_171500000,5,4,4,5,5,5,5,5,6,6,6,6,4,3,5
3_171500001_172000000,5,4,4,5,5,5,5,5,6,6,6,6,4,3,5
3_172000001_172500000,5,4,4,5,5,5,5,5,6,6,6,6,4,3,5
3_172500001_173000000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_173000001_173500000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_173500001_174000000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_174000001_174500000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_174500001_175000000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_175000001_175500000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_175500001_176000000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_176000001_176500000,5,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_176500001_177000000,6,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_177500001_178000000,6,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_178000001_178500000,6,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_179000001_179500000,6,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_179500001_180000000,6,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_180000001_180500000,6,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_180500001_181000000,6,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_181000001_181500000,6,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_181500001_182000000,6,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_182000001_182500000,6,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_182500001_183000000,6,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_183000001_183500000,6,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_183500001_184000000,6,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_184000001_184500000,6,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_184500001_185000000,6,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_185500001_186000000,6,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_186000001_186500000,6,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_186500001_187000000,6,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_187500001_188000000,6,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_188000001_188500000,6,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_188500001_189000000,6,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_189000001_189500000,6,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_189500001_190000000,6,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_190000001_190500000,6,4,4,5,5,6,5,5,6,6,6,6,4,3,5
3_190500001_191000000,6,4,4,5,5,6,5,5,6,6,6,6,5,3,5
3_191000001_191500000,6,4,4,5,5,6,5,5,6,6,6,6,5,3,5
3_191500001_192000000,6,4,4,5,5,6,5,5,6,6,6,6,5,3,5
3_192000001_192500000,6,4,4,5,5,6,5,5,6,6,6,6,5,3,5
3_192500001_193000000,6,4,4,5,5,6,5,5,6,6,6,6,5,3,5
3_193000001_193500000,6,4,4,5,5,6,5,5,6,6,6,6,5,3,5
3_193500001_194000000,6,4,4,5,5,6,5,5,6,6,6,6,5,3,5
3_196000001_196500000,6,4,4,5,5,6,5,5,6,6,6,6,5,3,5
3_196500001_197000000,6,4,4,5,5,6,5,5,6,6,6,6,5,3,5
4_500001_1000000,3,4,3,3,3,3,3,3,3,3,3,3,3,2,2
4_1500001_2000000,3,4,3,3,3,3,3,3,3,3,3,3,3,2,2
4_2000001_2500000,3,4,3,3,3,3,3,3,3,3,3,3,3,2,2
4_2500001_3000000,3,4,3,3,3,3,3,3,3,3,3,3,3,2,2
4_3000001_3500000,3,4,3,3,3,3,3,3,3,3,3,3,3,2,2
4_3500001_4000000,3,4,3,3,3,3,3,3,3,3,3,3,3,2,2
4_4000001_4500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
4_4500001_5000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
4_5500001_6000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
4_6000001_6500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
4_6500001_7000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
4_7000001_7500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_7500001_8000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_8000001_8500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_9500001_10000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_10000001_10500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_10500001_11000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_11500001_12000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_12000001_12500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_12500001_13000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_13000001_13500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_13500001_14000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_16000001_16500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_17000001_17500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_17500001_18000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_18000001_18500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_18500001_19000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_19500001_20000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_20000001_20500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_20500001_21000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_21500001_22000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_22000001_22500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_22500001_23000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_23000001_23500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_24000001_24500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_24500001_25000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_25000001_25500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_25500001_26000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_26000001_26500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_27500001_28000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_28000001_28500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_28500001_29000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_29000001_29500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_29500001_30000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_30000001_30500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_30500001_31000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_31000001_31500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_32000001_32500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_33000001_33500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_33500001_34000000,3,3,3,3,3,3,3,3,3,4,3,5,3,2,3
4_34000001_34500000,6,5,5,4,3,3,5,5,5,4,5,5,5,4,5
4_34500001_35000000,6,5,5,4,3,3,5,5,5,4,5,5,5,4,5
4_35000001_35500000,6,5,5,4,5,4,5,5,5,4,5,5,5,4,5
4_35500001_36000000,6,5,5,5,5,4,5,5,5,4,5,5,5,4,5
4_36000001_36500000,6,5,5,5,5,4,5,5,5,4,5,5,5,4,5
4_36500001_37000000,6,5,5,5,5,4,5,5,5,4,5,5,5,4,5
4_37000001_37500000,6,5,5,5,5,4,5,5,5,4,5,5,5,4,5
4_37500001_38000000,6,5,5,5,5,4,5,5,5,4,5,5,5,4,5
4_38000001_38500000,6,5,5,5,5,4,5,5,5,4,5,5,5,4,5
4_38500001_39000000,6,5,5,5,5,4,5,5,5,4,5,5,5,4,5
4_39000001_39500000,6,5,5,5,5,4,5,5,5,4,5,5,5,4,5
4_39500001_40000000,6,5,5,5,5,4,5,5,5,4,5,5,5,4,5
4_40000001_40500000,6,5,5,5,5,4,5,5,5,4,5,5,5,4,5
4_40500001_41000000,6,5,5,5,5,4,5,5,5,4,5,5,5,4,5
4_41000001_41500000,6,5,5,5,5,4,5,5,5,4,5,5,5,4,5
4_41500001_42000000,6,5,5,5,5,4,5,5,5,4,5,5,5,4,5
4_42000001_42500000,6,5,5,5,5,4,5,5,5,4,5,5,5,4,5
4_42500001_43000000,6,5,5,5,5,4,5,5,5,4,5,5,5,4,5
4_43000001_43500000,6,5,5,5,5,4,5,5,5,4,5,5,5,4,5
4_43500001_44000000,6,5,5,5,5,4,5,5,5,4,5,5,5,4,5
4_44000001_44500000,6,5,5,5,5,4,5,5,5,4,5,5,5,4,5
4_44500001_45000000,6,5,5,5,5,3,5,5,5,4,5,5,5,4,5
4_45000001_45500000,3,3,3,3,3,3,3,3,3,4,3,3,3,2,3
4_45500001_46000000,3,3,3,3,3,3,3,3,3,4,3,3,3,2,3
4_46000001_46500000,3,3,3,3,3,3,3,3,3,4,3,3,3,2,3
4_46500001_47000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_47000001_47500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_47500001_48000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_48500001_49000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_55000001_55500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_55500001_56000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_56000001_56500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_56500001_57000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_57000001_57500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_57500001_58000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_59000001_59500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_60000001_60500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_60500001_61000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_61000001_61500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_61500001_62000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_62000001_62500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_63000001_63500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_63500001_64000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_64000001_64500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_64500001_65000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_65000001_65500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_66500001_67000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_67000001_67500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_67500001_68000000,3,3,3,3,3,3,3,3,3,6,3,3,3,2,3
4_68000001_68500000,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6
4_69500001_70000000,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6
4_70000001_70500000,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6
4_70500001_71000000,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6
4_72000001_72500000,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6
4_72500001_73000000,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6
4_73000001_73500000,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6
4_73500001_74000000,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6
4_74000001_74500000,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6
4_74500001_75000000,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6
4_76500001_77000000,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6
4_77000001_77500000,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6
4_77500001_78000000,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6
4_78000001_78500000,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6
4_78500001_79000000,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6
4_79500001_80000000,6,6,6,6,6,6,3,6,6,4,6,6,6,4,6
4_80000001_80500000,3,3,3,3,3,3,3,3,3,4,3,3,3,2,3
4_81000001_81500000,3,3,3,3,3,3,3,3,3,4,3,3,3,2,3
4_81500001_82000000,3,3,3,3,3,3,3,3,3,4,3,3,3,2,3
4_82000001_82500000,3,3,3,3,3,3,3,3,3,4,3,3,3,2,3
4_82500001_83000000,3,3,3,3,3,3,3,3,3,4,3,3,3,2,3
4_83000001_83500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_83500001_84000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_84000001_84500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_84500001_85000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_85500001_86000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_86000001_86500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_87500001_88000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_89000001_89500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_89500001_90000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_90000001_90500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_90500001_91000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_91000001_91500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_92000001_92500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_93000001_93500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_93500001_94000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_94000001_94500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_95000001_95500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_95500001_96000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_96000001_96500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_96500001_97000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_97000001_97500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_97500001_98000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_98000001_98500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_98500001_99000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_99000001_99500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_100000001_100500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_101000001_101500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_101500001_102000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_102000001_102500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_102500001_103000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_104000001_104500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_105000001_105500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_106000001_106500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_106500001_107000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_108500001_109000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_109000001_109500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_109500001_110000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_110000001_110500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_110500001_111000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_111000001_111500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_113500001_114000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_114000001_114500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_114500001_115000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_115000001_115500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_115500001_116000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_116000001_116500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_116500001_117000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_117000001_117500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_117500001_118000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_118000001_118500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_118500001_119000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_121000001_121500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_121500001_122000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_122000001_122500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_122500001_123000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_124000001_124500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_124500001_125000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_125500001_126000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_126000001_126500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_126500001_127000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_127000001_127500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_128000001_128500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_129000001_129500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_129500001_130000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_130000001_130500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_131000001_131500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_131500001_132000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_132000001_132500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_133000001_133500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_134000001_134500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_134500001_135000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_135000001_135500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_135500001_136000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_136500001_137000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_137500001_138000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_138000001_138500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_138500001_139000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_139000001_139500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_139500001_140000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_140000001_140500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_140500001_141000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_141500001_142000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_142000001_142500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_142500001_143000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_143000001_143500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_143500001_144000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_145500001_146000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_146000001_146500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_146500001_147000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_147000001_147500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_148000001_148500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_148500001_149000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_149000001_149500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_149500001_150000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_150000001_150500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_151000001_151500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_151500001_152000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_152000001_152500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_152500001_153000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_153000001_153500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_153500001_154000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_154000001_154500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_154500001_155000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_155000001_155500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_155500001_156000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_156000001_156500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_156500001_157000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_157000001_157500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_157500001_158000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_158000001_158500000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
4_158500001_159000000,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
