DOB,Transplant Date,,Transplant site,Age at transplant,Strain,Tumor ID,Patient ID,SA ID,Passage,Source type,Treatment naive/pre,Date of Dx,Age at Dx,Metastasis,Mets at Dx,Date of mets Dx,Mets site,SQL Barcode,Cage,Comments for surgery,Wound dehiscence,,,DLP ID,10X ID,Intrathoracic Mass,Histology,Cell suspension vol (ul),Last tumor palpation,,Next tumor palpation,,Primary tumor removal,12 wks from PTR,16 wks from PTR,Euthanize,PTR-Mets,Time to mets detection,PET/CT,Second surgery,8wks after PTR,Metastasis,metastatic site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/01/2018,4/24/18,N,MFP,13wks,NRG,X0038-1246159674,CBX038,SA604,10,Primary tumor,Naive,16-Jul-13,40,Yes,No,Mar-14,"Bone, Liver",2580,HL180424,Matrigel leaked during injection,,,"distant organ(brain, lung, liver) harvested, grossly clean without metastasis, enlarged spleen, FFPEx1, FFx2, VFx2 for brain, liver, lung",,,,"Negative for metastasis in liver, lung, brain.",500,5/28/18,palpable,,31/05/2018,6/19/18,9/11/18,10/9/18,1/4/19,,,,,8/14/18,,,5/31/18,125.8,6/4/18,169.9,6/7/18,231.1,6/11/18,416,6/14/18,432.5,6/18/18,751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2018,6/6/18,R,MFP,12wks,NSG,X0016-4143371,CBX016,SA575,7,Primary tumor,Naive,,,,,,,2673,HL180606,,,,,,,,,500,,,,,,,,1/25/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2018,6/6/18,L,MFP,12wks,NSG,X0016-4143372,CBX016,SA575,7,Primary tumor,Naive,,,,,,,2674,HL180606,Matrigel leaked during injection,,"Mouse euthanized because of difficulty in breathing, Huge mass(8x8x6) in chest cavity, probably thymoma, Couldn't find spleen",,,,yes,,500,,,,,,,,7/13/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2018,6/6/18,B,MFP,12wks,NSG,X0016-4143373,CBX016,SA575,7,Primary tumor,Naive,,,,,,,2675,HL180606,,,,,,,,,500,,,,,,,,1/25/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2018,6/6/18,N,MFP,12wks,NSG,X0016-4143374,CBX016,SA575,7,Primary tumor,Naive,,,,,,,2676,HL180606,,,,,,,,,500,,,,,,,,1/25/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2018,6/11/18,R,MFP,12wks,NSG,X1476-2331,VBA1476,SA1139,4,Primary tumor,Naive,,,,,,,2689,HL180611,Matrigel leaked during injection (injection material volume was overlaoded),,,,,,,,550,22/07/2018,non-palpable,,,,,,2/1/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2018,6/11/18,L,MFP,12wks,NSG,X1476-2332,VBA1476,SA1139,4,Primary tumor,Naive,,,,,,,2690,HL180611,Matrigel leaked during injection (injection material volume was overlaoded),minor wound dehiscence,"PTR on Aug14/18, Hard mass, highly vascularized, easily removed, minimal bleeding","distant organ(brain, lung, liver) harvested, grossly clean without metastasis, enlarged spleen, FFPEx1, FFx2, VFx2 for brain, liver, lung",,,,"Negative for metastasis in liver, lung, brain.",550,22/07/2018,palpable,,,8/14/18,11/6/18,12/3/18,1/4/19,,,12/11/18,,,,,,,7/23/18,58.3,7/26/18,95.5,7/30/18,189.1,8/2/18,273.3,8/7/18,273.3,8/9/18,599.4,8/13/18,677.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2018,6/11/18,B,MFP,12wks,NSG,X1476-2333,VBA1476,SA1139,4,Primary tumor,Naive,,,,,,,2691,HL180611,Matrigel leaked during injection (injection material volume was overlaoded),,"PTR on Sep10/18, Hard mass, highly vascularized, easily removed, minor bleeding","distant organ(brain, lung, liver) harvested, grossly clean without metastasis, FFPEx1, FFx2, VFx2 for brain, liver/ FFPEx1,FFx1,VFx2 for lung",,,,"Negative for metastasis in liver, brain.
One micromets in lung?",550,22/07/2018,non-palpable,,,9/10/18,12/3/18,12/31/18,2/1/19,,,,,,,,9/4/18,598.0,9/6/18,624,9/10/18,1145.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2018,6/11/18,N,MFP,12wks,NSG,X1476-2334,VBA1476,SA1139,4,Primary tumor,Naive,,,,,,,2692,HL180611,"Matrigel leaked during injection (injection material volume was overlaoded), wound dehiscence.",,"PTR on Aug13/18, Hard mass, highly vascularized, easily removed, minimal bleeding","distant organ(brain, lung, liver) harvested, grossly clean without metastasis, enlarged spleen, FFPEx1, FFx2, VFx2 for brain, liver, lung",,,,"Negative for metastasis in liver, lung, brain.",550,22/07/2018,palpable,,,8/13/18,11/5/18,12/2/18,1/4/19,,,12/11/18,,,,,,,7/23/18,151.8,7/26/18,197.2,7/30/18,368.2,8/2/18,368.2,8/7/18,518.6,8/9/18,682.2,8/13/18,990.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/04/2018,6/21/18,R,MFP (sgRNA),10wks,NSG,X0662-12125,VBA0662,SA501,5,Primary tumor,,,,,,,,2740,HL180621,"sgRNA transduced/ PTR on Jul31/18, hard mass, easily removed, minimal bleeding",,"Euth on Nov28/18, No grossly abnormal findings in organs.FFPEx1, FFx2, VFx2 for brain, liver, lung",,,,,,,22/07/2018,palpable,,,7/31/18,10/23/18,11/20/18,11/28/18,,,11/7/18,,,,,,,7/23/18,216.6,7/26/18,267.3,7/30/18,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/04/2018,6/21/18,L,MFP (sgRNA),10wks,NSG,X0662-12126,VBA0662,SA501,5,Primary tumor,,,,,,,,2741,HL180621,"sgRNA transduced/ PTR on Jul31/18, hard mass, easily removed, minimal bleeding",,,,,,,"Negative for metastasis in liver, lung, brain.",,22/07/2018,palpable,,,7/31/18,10/23/18,11/20/18,11/29/18,,,,,,,,,,7/23/18,245.7,7/26/18,346.2,7/30/18,492.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/04/2018,6/21/18,B,MFP,10wks,NSG,X0662-12127,VBA0662,SA501,5,Primary tumor,,,,,,,,2742,HL180621,sgRNA non-transduced,,Euthanized Nov21.18 due to tail vein wounds. No grossly abnormal findings in organs.,,,,,"Negative for metastasis in liver, lung, brain.",,22/07/2018,palpable,,,8/6/18,10/29/18,11/26/18,11/21/18,,,11/7/18,,,,,,,,,7/26/18,282.6,7/30/18,304.8,8/2/18,459.1,8/6/18,964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/04/2018,6/21/18,N,MFP,10wks,NSG,X0662-12128,VBA0662,SA501,5,Primary tumor,,,,,,,,2743,HL180621,sgRNA non-transduced,,"Euth on Nov28/18, No grossly abnormal findings in organs.FFPEx1, FFx2, VFx2 for brain, liver, lung/ 2mm sized small mass at tumor site",,,,,"Negative for metastasis in liver, lung, brain.",,22/07/2018,palpable,,,8/6/18,10/29/18,11/26/18,11/28/18,,,,,,,,,,7/23/18,145,7/26/18,311.7,7/30/18,311.7,8/2/18,506.8,8/6/18,1593.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/04/2018,7/9/18,R,MFP(fragment),12wks,NSG,X1991-1,CID0003466,,1,,,,,,,,,2762,HL180709,"tissue fragment washed with HF x3, transplanted into MFP",,"TNBC tissue from McGill, MoragPark, 1991 P2-5L, metastasize to liver, lung","PTR on Nov27/18, hard mass, easily removed, minimal bleeding, passaged to 4 mice
Sick report Jan28/19, general illness, Wt loss, Euthanized on Feb4/19
Necropsy: Huge metastatic mets and multiple lesions in liver, metastatic mass in left axillary area, metastasis like lesion in lung
Liver:FFPEx1, FFx1, VFx2, re-transplant into 4 mice
AxiM: FFPEx1, FFx1, VFx2, re-transplanted into 4 mice
Lung: FFPEx1, FFx1, VFx2, Brain:FFPEx1, FFx2, VFx2",,,,"Tumor cells in axillary mets, multiple mets in lungs and liver. Negative for brain",,,,,,11/27/18,2/19/19,3/19/19,2/4/19,,,,,,,,9/20/18,79.3,9/24/18,82.7,9/27/18,82.7,10/1/18,108.5,10/4/18,181,10/9/18,181,10/11/18,210,10/15/18,210.1,10/18/18,210.1,10/22/18,239.5,10/25/18,290.5,10/29/18,370,11/1/18,370,11/5/18,480.2,11/8/18,480.2,11/13/18,480.2,11/15/18,586.1,11/19/18,586.1,11/22/18,740,11/26/18,932.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/04/2018,7/9/18,L,MFP(fragment),12wks,NSG,X1991-2,CID0003466,,1,,,,,,,,,2763,HL180709,"tissue fragment washed with HF x3, transplanted into MFP",,"TNBC tissue from McGill, MoragPark, 1991 P2-5L, metastasize to liver, lung","PTR on Dec10/18,  hard mass, easily removed, minor bleeding.
Euth on Mar12/19 due to weight loss>15%
Necropsy: metastatic lesion in liver, left axillary area
Lung: FFPEx1
Liver: VFx2, AxiM: FFx1, VFx3",,,,Tumour cells in lung (less extensive),,,,,,12/10/18,3/4/19,4/1/19,3/12/19,,,,,,,,9/17/18,18.3,9/20/18,103.8,9/24/18,103.8,27/09/2018,123.6,10/1/18,157.2,10/4/18,164.7,10/9/18,164.7,10/11/18,193.3,10/15/18,193.3,10/18/18,224.2,10/22/18,211.6,10/25/18,211.6,10/29/18,238.5,11/1/18,238.5,11/5/18,254.3,11/8/18,254.3,11/13/18,275,11/15/18,299,11/19/18,299,11/22/18,299,11/26/18,299,11/29/18,399.9,12/3/18,434.9,12/6/18,438.9,12/10/18,497.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/04/2018,7/9/18,B,MFP(fragment),12wks,NSG,X1991-3,CID0003466,,1,,,,,,,,,2764,HL180709,"tissue fragment washed with HF x3, transplanted into MFP",,"TNBC tissue from McGill, MoragPark, 1991 P2-5L, metastasize to liver, lung","PTR on Sep26/18, hard mass, easily removed, minor bleeding. Passaged with sgRNA transduced.",,,,"Negative for metastasis in liver, lung, brain.",,,,,,9/26/18,12/19/18,1/16/19,4/5/19,,,"11/12/2018, 20/02/2019",,,,,8/30/18,111.5,9/4/18,196.8,9/6/18,259.6,9/10/18,502.2,9/13/18,511.5,9/17/18,670.8,9/20/18,520.9,24/09/2018,544.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/04/2018,7/9/18,N,MFP(fragment),12wks,NSG,X1991-4,CID0003466,,1,,,,,,,,,2765,HL180709,"tissue fragment washed with HF x3, transplanted into MFP",,"TNBC tissue from McGill, MoragPark, 1991 P2-5L, metastasize to liver, lung","PTR on Nov20/18, hard mass, easily removed, minor bleeding.
Euth on Mar14/19, Single metastatic lesion on liver, another huge mass attached to Rt. Side of liver, left axillary mets, small metastatic lesion attached to lung
Liver mets: FFPEx1, FFx1, VFx2, Huge liver mass: FFPEx1, FFx2, VFx4
AxiM: VFx2, Brain: FFPEx1
Lung: FFPEx1, VFx2(mouse depleted, cells may still have mouse cells d/t insufficient beads used, 24mil cells/500ul), Box4, A6-7",,,,"Negative for brain
Multiple metastasis in lung, liver, abdominal mass",,,,,,11/20/18,2/12/19,3/12/19,3/14/19,,,,,,,,9/17/18,81.9,9/20/18,118.3,9/24/18,122.8,27/09/2018,158.2,10/1/18,171.2,10/4/18,283,10/9/18,301.9,10/11/18,310.4,10/15/18,321.8,10/18/18,321.8,10/22/18,336.4,10/25/18,454.5,10/29/18,472,11/1/18,531.3,11/5/18,531.3,11/8/18,531.3,11/13/18,633.8,11/15/18,729.1,11/19/18,789.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/04/2018,7/10/18,R,MFP(fragment),13wks,NSG,X1971-1,CID0003463,,1,,,,,,,,,2768,HL180710 (1),"tissue fragment washed with HF x3, transplanted into MFP",,"TNBC tissue from McGill, MoragPark, 1971 P2-2R/PTR on Sep19/18, Large hard mass, easily removed, minor bleeding","Dec12/18 sick report, severely hunched, barely moving, score 5. Euth by staff",,,,,,,,,,9/19/18,12/12/18,1/9/19,12/12/18,,,,,,,,9/4/18,178.9,9/6/18,189.6,9/10/18,429.3,9/13/18,523.8,9/17/18,970.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/04/2018,7/10/18,L,MFP(fragment),13wks,NSG,X1971-2,CID0003463,,1,,,,,,,,,2769,HL180710 (1),"tissue fragment washed with HF x3, transplanted into MFP",,"TNBC tissue from McGill, MoragPark, 1971 P2-2R/PTR on Aug29/18, Large hard mass, easily removed, minimal bleeding","Nov 10/18: found laying on her side, gasping for breath and was unresponsive, euthanized. 
Necropsy: No specific findings. Brain:FFPEx1, Liver:FFPEx1,FFx1, Lung:FFPEx1,FFx1",,,,"Tumour cells in brain (leptomeningeal, no invasion), No metastatic cells in liver, lung.",,,,,,8/29/18,11/21/18,12/19/18,11/11/18,,,11/7/18,,,,,8/28/18,1383.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/04/2018,7/10/18,B,MFP(fragment),13wks,NSG,X1971-3,CID0003463,,1,,,,,,,,,2770,HL180710 (1),"tissue fragment washed with HF x3, transplanted into MFP",,"small mouse(16.5g), didn't recover well from surgery ,so euthanized.",,,,,,,,,,,,,,7/10/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/04/2018,7/10/18,N,MFP(fragment),13wks,NSG,X1971-4,CID0003463,,1,,,,,,,,,2771,HL180710 (1),"tissue fragment washed with HF x3, transplanted into MFP",,"TNBC tissue from McGill, MoragPark, 1971 P2-2R/PTR on Sep17/18, Hard mass, easily removed, minor bleeding, small 4x4 mass just beneath skin","Nov18/18: severely hunched, ruffled, decreased movement, euthanized.
Necropsy: No gross metastasis in lungs, liver, brain.
FFPE:brain, lung, liver, spinal cord. FF&VF x1: brain, lung, liver",,,,"Tumour cells in brain (small amount, leptomeningeal), No metastatic cells in liver, lung.",,,,,,9/17/18,12/10/18,1/7/19,11/18/18,,,,,,,,9/6/18,114.2,9/10/18,270.5,9/13/18,471.7,9/17/18,845.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/04/2018,7/10/18,R,MFP(fragment),12wks,NSG,X1971-5,CID0003463,,1,,,,,,,,,2772,HL180710 (2),"tissue fragment washed with HF x3, transplanted into MFP",,"TNBC tissue from McGill, MoragPark, 1971 P2-2R/PTR on Sep11/18, Hard mass, easily removed, minor bleeding","Dec12/18 severely hunched, thin, orbital tightening, abnormal gait, score 4/Severely thin, No gross metastasis, FFPE:brain, spinal cord, lung, liver",,,,"Tumour cells in brain (leptomeningeal, no invasion), No metastatic cells in spinal cord, liver, lung.",,,,,,9/11/18,12/4/18,1/1/19,12/12/18,,,,,,,,8/30/18,215.7,9/4/18,590.6,9/6/18,684.7,10/09/2018,838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/04/2018,7/10/18,L,MFP(fragment),12wks,NSG,X1971-6,CID0003463,,1,,,,,,,,,2773,HL180710 (2),"tissue fragment washed with HF x3, transplanted into MFP",,"TNBC tissue from McGill, MoragPark, 1971 P2-2R",,,,,,,,,,,,,,4/4/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/04/2018,7/10/18,B,MFP(fragment),12wks,NSG,X1971-7,CID0003463,,1,,,,,,,,,2774,HL180710 (2),"tissue fragment washed with HF x3, transplanted into MFP",,"TNBC tissue from McGill, MoragPark, 1971 P2-2R",,,,,,,,,,,,,,4/4/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/04/2018,7/10/18,N,MFP(fragment),12wks,NSG,X1971-8,CID0003463,,1,,,,,,,,,2775,HL180710 (2),"tissue fragment washed with HF x3, transplanted into MFP",,"TNBC tissue from McGill, MoragPark, 1971 P2-2R/PTR on Sep4/18, Hard mass, easily removed, minor bleeding","Nov5/18 Severe hunched , ruffled and changed in breathing pattern , unable to move/No gross metastasis in lungs, liver, brain;FFPE, FF, VF x1",,,,"Tumor cells (similar to primary tumor cells) in brain, no other metastasis in liver and lung",,,,,,9/4/18,11/27/18,12/25/18,11/5/18,,,,,,,,8/28/18,733.9,8/30/18,766.1,9/4/18,974.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/04/2018,7/13/18,R,MFP,12wks,NSG,X2673-11,PBC02673,SA1142 (need to be checked),2,Primary tumor,,,,,,,,2798,HL180713,"Patient ID should be confirmed, PBC02596 or PBC02673, confirmed to be PBC02673",,"PTR on Jan30/19, Small hard mass, easily removed, small bleeding","Euth on Mar26/19 due to wt loss, mild ataxia. Two small mets in liver, other organs were clean without mets.
Brain: FFPEx1, Liver mets: FFPEx1, VFx2, Lung: VFx2 after mouse depletion (cold protease), cell count=3.64mil/ml -> 1.8mil cells in 1 VF
Initial material: TP=7064(Rack2-Box9-C1), VF=7065 (Rack2-Box9-C2), FF=7063 (Rack2-Box9-B8)
Primary and liver mets for DLP on May2/19, Lung mets for DLP on May17/19.
Resubmit liver and lung (dead cell removal) on","Primary SA1141X2XB09021 (Box14, C2)
Liver mets SA1141X2XB09526 (Box18, D2) : low cells, additional vial needed, FF?
Lung mets SA1141X2XB09528 (Box18, D4) : low cells, additional vial needed",,,"Multiple metastatic lesion in lung, metastatic mass in liver, negative for brain",,,,,,1/30/19,4/24/19,5/22/19,3/28/19,8 weeks,36 weeks,,,,,,11/8/18,24.7,11/13/18,24.7,11/15/18,69.5,11/19/18,81.6,11/22/18,87.9,11/26/18,109.8,11/29/18,131,12/3/18,167,12/6/18,167,12/10/18,178.9,12/13/18,190,12/17/18,218.4,12/20/18,235.5,12/24/18,264.8,1/2/19,317.3,1/7/19,317.3,1/10/19,324.1,1/14/19,324.1,1/17/19,356.9,1/21/19,386.6,1/24/19,395.4,1/29/19,407.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/04/2018,7/13/18,L,MFP,12wks,NSG,X2673-12,PBC02673,SA1142,2,Primary tumor,,,,,,,,2799,HL180713,"Patient ID should be confirmed, PBC02596 or PBC02673, confirmed to be PBC02673",minor wound dehiscence,"PTR on Jan30/19, Small hard mass, easily removed, minimal bleeding","Euth on Mar26/19 due to wt loss, mild ataxia. No gross mets in organs. 
Brain, Lung, liver: FFPEx1",,,,"A few metastatic lesion in lung, Negative for liver, brain",,,,,,1/30/19,4/24/19,5/22/19,3/26/19,8 weeks,36 weeks,,,,,,10/18/18,18.7,10/22/18,39.1,10/25/18,63.7,10/29/18,63.7,11/1/18,63.7,11/5/18,63.7,11/8/18,63.7,13/11/2018,95.5,15/11/2018,95.5,11/19/18,95.5,11/22/18,103.1,11/26/18,161.9,11/29/18,161.9,12/3/18,174.4,12/6/18,178.9,12/10/18,192.4,12/13/18,192.4,12/17/18,197.2,12/20/18,212.9,12/24/18,239.9,1/2/19,264.2,1/7/19,264.2,1/10/19,332.2,1/14/19,341.7,1/17/19,341.7,1/21/19,272.3,1/24/19,358.2,1/29/19,358.2,,,,,,,,,,,,,,,,,,,,,,
21/04/2018,7/13/18,B,MFP,12wks,NSG,X2673-13,PBC02673,SA1142,2,Primary tumor,,,,,,,,2800,HL180713,"Patient ID should be confirmed, PBC02596 or PBC02673, confirmed to be PBC02673",,Euthanized on Feb 6/19 due to wt loss. General illness.,"Metastatic lesion on liver, no specific findings in other organs.
Liver:FFPEx1, FFx1, VFx1 (enough for both DLP and 10X)
Lung: FFPEx1, VFx1, Brain: FFPEx1
Primary and liver submitted on Dec 13/19","Primary SA1141X2XB06032 (Box10)
Liver mets SA1142X2XB09378 (Box12) FF
Lung mets SA1142X2XB09379 (Box12)",,,"Metastatic lesion in liver, micrometastasis in lung, negative for brain",,,,,,12/12/18,3/6/19,4/3/19,2/6/19,8 weeks,29 weeks,,,,,,10/25/18,116.4,10/29/18,233.5,11/1/18,233.5,11/5/18,257.4,11/8/18,257.4,13/11/2018,299.5,15/11/2018,318.2,11/19/18,349.6,11/22/18,398.6,11/26/18,480.2,11/29/18,557.7,12/3/18,526.2,12/6/18,560.7,12/10/18,618.8,,,1/29/19,30.8,2/5/19,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/04/2018,7/13/18,N,MFP,12wks,NSG,X2673-14,PBC02673,SA1142,2,Primary tumor,,,,,,,,2801,HL180713,"Patient ID should be confirmed, PBC02596 or PBC02673, confirmed to be PBC02673",,Mouse was sick and died during PET/CT scan,"Multiple metastatic lesions on liver, huge mass in thoracic cavity
Lung and liver harvested in PET room, whole lung and liver into formalin",,,yes,"Tumour cells in lung, liver. It seems that two different type of tumour cells are present in lung, one from thoracic mass, one from metastasis.",,,,,,12/12/18,3/6/19,4/3/19,2/20/19,,,2/20/19,,,,,10/18/18,83.4,10/22/18,92.8,10/25/18,112.2,10/29/18,126.7,11/1/18,126.7,11/5/18,126.7,11/8/18,128.5,13/11/2018,168.1,15/11/2018,196.6,11/19/18,207.8,11/22/18,210.6,11/26/18,295.3,11/29/18,295.3,12/3/18,317.3,12/6/18,317.3,12/10/18,425.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/04/2018,7/15/18,R,MFP(fragment),12wks,NSG,X1986-1,CID0003465,,2,,,,,,,,,2802,HL180715,"tissue fragment washed with HF x3, transplanted into MFP",,"TNBC tissue from McGill, MoragPark, 1986 P2-3R, metastasize everywhere?","PTR on Dec12/18; Euth on Mar20/19, left axillary mets, no gross mets in other organs.",,,,"Negative for brain, lung, liver, Tumour cells in axillary mets",,,,,,12/12/18,3/6/19,4/3/19,3/20/19,,,"07/11/2018, 11/12/2018,20/02/2019",,,,,9/4/18,50.0,9/6/18,50,9/10/18,50,9/13/18,50,9/17/18,50,9/20/18,94,24/09/2018,94,27/09/2018,115.5,10/1/18,131.6,10/4/18,143.2,10/9/18,147.1,10/11/18,193.6,10/15/18,193.6,10/18/18,208.9,22/10/2018,175.8,10/25/18,182.4,10/29/18,182.4,11/1/18,182.4,11/5/18,182.4,11/8/18,PET/CT,11/13/18,,15/11/2018,216.1,11/19/18,216.1,11/22/18,216.1,11/26/18,225,11/29/18,225,12/3/18,246.3,12/6/18,284.7,12/10/18,297.4,12/13/18,PET/CT,,,,,,,,,,,,,,,,,,
21/04/2018,7/15/18,L,MFP(fragment),12wks,NSG,X1986-2,CID0003465,,2,,,,,,,,,2803,HL180715,"tissue fragment washed with HF x3, transplanted into MFP",,"TNBC tissue from McGill, MoragPark, 1986 P2-3R, metastasize everywhere?","PTR on Jan13/19, small hard mass, easily removed, minor bleeding
Euth on May26/19, Hard tumor mass in part of intestine attached to spine
Lung:FFPEx1, Intestine:FFPEx1",,,,,,,,,,1/13/19,3/28/19,4/25/19,5/26/19,,,,,,,,9/20/18,62.3,9/24/18,62.3,9/27/18,64.7,10/1/18,78,10/4/18,79.3,10/9/18,79.3,10/11/18,91.4,10/15/18,91.4,10/18/18,129.2,22/10/2018,85.1,10/25/18,132.9,10/29/18,146.5,11/1/18,146.5,11/5/18,198.1,11/8/18,198.1,11/13/18,198.1,15/11/2018,155.7,11/19/18,171.9,11/22/18,171.9,11/26/18,191.7,11/29/18,191.7,12/3/18,231.9,12/6/18,231.7,12/10/18,234.4,12/13/18,234.4,12/17/18,291.3,12/20/18,291.3,12/24/18,297.3,1/2/19,305.2,1/7/19,305.2,1/10/19,305.2,,,,,,,,,,,,,,,,
21/04/2018,7/15/18,B,MFP(fragment),12wks,NSG,X1986-3,CID0003465,,2,,,,,,,,,2804,HL180715,"tissue fragment washed with HF x3, transplanted into MFP",,"TNBC tissue from McGill, MoragPark, 1986 P2-3R, metastasize everywhere?","PTR on Jan22/19, small hard mass, easily removed, minimal bleeding, passaged (transduced and non-transduced)
Euth on May26/19, no specific findings. Lung:FFPEx1",,,,,,,,,,1/22/19,4/5/19,5/3/19,5/26/19,,,,,,,,9/4/18,50.5,9/6/18,57.9,9/10/18,71.5,9/13/18,81.9,9/17/18,83.2,9/20/18,100.7,24/09/2018,108.5,27/09/2018,108.5,10/1/18,116.6,10/4/18,133.5,10/9/18,133.5,10/11/18,139.9,10/15/18,145.9,10/18/18,145.9,22/10/2018,101.4,10/25/18,104.7,10/29/18,110.2,11/1/18,112,11/5/18,125.9,11/8/18,125.9,11/13/18,125.9,15/11/2018,129.4,11/19/18,138.5,11/22/18,143.2,11/26/18,204.5,11/29/18,209.7,12/3/18,259.4,12/6/18,272.9,12/10/18,293.7,12/13/18,311.9,12/17/18,354.2,12/20/18,386.6,12/24/18,404.4,1/2/19,404.4,1/7/19,404.4,1/10/19,536.7,1/14/19,536.7,1/17/19,546.3,1/21/19,393.6
21/04/2018,7/15/18,N,MFP(fragment),12wks,NSG,X1986-4,CID0003465,,2,,,,,,,,,2805,HL180715,"tissue fragment washed with HF x3, transplanted into MFP",,"TNBC tissue from McGill, MoragPark, 1986 P2-3R, metastasize everywhere?/ sick report on Oct 4, general illness, thin hunched, weight loss 24->20g","Primary tumor 6x6x3, distant organ(brain, lung, liver, spleen) harvested, grossly clean without metastasis, lung looked somewhat abnormal but no gross metastasis, Hepatomegaly and splenomegaly (22x8x4), huge mass in thoracic cavity (12x10x10), small, well demarcated masses (8x6x4) at the end of both Fallopian tube(?)
Tumor:FFPEx1,FFx1,VFx1, ThyM:FFPEx1,FFx2,VFx2, AbdMass:FFPEx1,FFx1,VFx1, Spleen,liver,brain:FFPEx1, lung:FFPEx1,FFx1,VFx1",,,yes,"Tumour cells in lung, liver, spleen(?), abdominal mass. Thymoma could be also tumour?",,,,,,10/8/18,,,10/8/18,,,,,,,,9/20/18,58.3,9/24/18,58.3,9/27/18,141.9,10/1/18,141.9,10/4/18,141.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
